epoch,mse_nn1,mae_nn1
1,4735606121.090138,53242.41194404979
2,2.3117189871799536e+17,480803386.8599765
3,2.2397465416751976e+26,14965782778308.645
4,2.170129663036636e+35,4.658465050890298e+17
5,2.1026187513021432e+44,1.450040948146687e+22
6,2.0372641462169105e+53,4.5136062590980506e+26
7,1.9738865691527958e+62,1.4049507354896104e+31
8,1.912533279535829e+71,4.373251970257182e+35
9,1.8530359750026896e+80,1.3612626399790348e+40
10,1.7954390215511878e+89,4.237262113147104e+44
11,1.7395844210765032e+98,1.3189330616359973e+49
12,1.685513823271419e+107,4.105500972197444e+53
13,1.6330789034131047e+116,1.2779197562496273e+58
14,1.582318761214814e+125,3.977837051985429e+62
15,1.5330941530945407e+134,1.238181793233343e+67
16,1.4854417848918076e+143,3.8541429460929557e+71
17,1.4392309381666924e+152,1.1996795147732961e+76
18,4735728500.236011,53243.523980642785
19,4735728500.236011,53243.523980642785
20,4735728500.236011,53243.523980642785
21,4735728500.236011,53243.523980642785
22,4735728500.236011,53243.523980642785
23,4735728500.236011,53243.523980642785
24,4735728500.236011,53243.523980642785
25,4735728500.236011,53243.523980642785
26,4735728500.236011,53243.523980642785
27,4735728500.236011,53243.523980642785
28,4735728500.236011,53243.523980642785
29,4735728500.236011,53243.523980642785
30,4735728500.236011,53243.523980642785
31,4735728500.236011,53243.523980642785
32,4735728500.236011,53243.523980642785
33,4735728500.236011,53243.523980642785
34,4735728500.236011,53243.523980642785
35,4735728500.236011,53243.523980642785
36,4735728500.236011,53243.523980642785
37,4735728500.236011,53243.523980642785
38,4735728500.236011,53243.523980642785
39,4735728500.236011,53243.523980642785
40,4735728500.236011,53243.523980642785
41,4735728500.236011,53243.523980642785
42,4735728500.236011,53243.523980642785
43,4735728500.236011,53243.523980642785
44,4735728500.236011,53243.523980642785
45,4735728500.236011,53243.523980642785
46,4735728500.236011,53243.523980642785
47,4735728500.236011,53243.523980642785
48,4735728500.236011,53243.523980642785
49,4735728500.236011,53243.523980642785
50,4735728500.236011,53243.523980642785
51,4735728500.236011,53243.523980642785
52,4735728500.236011,53243.523980642785
53,4735728500.236011,53243.523980642785
54,4735728500.236011,53243.523980642785
55,4735728500.236011,53243.523980642785
56,4735728500.236011,53243.523980642785
57,4735728500.236011,53243.523980642785
58,4735728500.236011,53243.523980642785
59,4735728500.236011,53243.523980642785
60,4735728500.236011,53243.523980642785
61,4735728500.236011,53243.523980642785
62,4735728500.236011,53243.523980642785
63,4735728500.236011,53243.523980642785
64,4735728500.236011,53243.523980642785
65,4735728500.236011,53243.523980642785
66,4735728500.236011,53243.523980642785
67,4735728500.236011,53243.523980642785
68,4735728500.236011,53243.523980642785
69,4735728500.236011,53243.523980642785
70,4735728500.236011,53243.523980642785
71,4735728500.236011,53243.523980642785
72,4735728500.236011,53243.523980642785
73,4735728500.236011,53243.523980642785
74,4735728500.236011,53243.523980642785
75,4735728500.236011,53243.523980642785
76,4735728500.236011,53243.523980642785
77,4735728500.236011,53243.523980642785
78,4735728500.236011,53243.523980642785
79,4735728500.236011,53243.523980642785
80,4735728500.236011,53243.523980642785
81,4735728500.236011,53243.523980642785
82,4735728500.236011,53243.523980642785
83,4735728500.236011,53243.523980642785
84,4735728500.236011,53243.523980642785
85,4735728500.236011,53243.523980642785
86,4735728500.236011,53243.523980642785
87,4735728500.236011,53243.523980642785
88,4735728500.236011,53243.523980642785
89,4735728500.236011,53243.523980642785
90,4735728500.236011,53243.523980642785
91,4735728500.236011,53243.523980642785
92,4735728500.236011,53243.523980642785
93,4735728500.236011,53243.523980642785
94,4735728500.236011,53243.523980642785
95,4735728500.236011,53243.523980642785
96,4735728500.236011,53243.523980642785
97,4735728500.236011,53243.523980642785
98,4735728500.236011,53243.523980642785
99,4735728500.236011,53243.523980642785
100,4735728500.236011,53243.523980642785
