,feature,weight,original_feature
0,Feature 1,22005.176978973366,AGE
1,Feature 2,15802.238445476907,UHRSWORKT
2,Feature 3,26439.039218364447,WKSWORK1
3,Feature 4,56259.23241961641,UHRSWORKLY
4,Feature 5,2212.6937891930734,RELATE_101
5,Feature 6,380.71685486281655,RELATE_201
6,Feature 7,9520.622769912368,RELATE_202
7,Feature 8,9651.429427601453,RELATE_203
8,Feature 9,-3982.638361254496,RELATE_301
9,Feature 10,-6308.354257324569,RELATE_501
10,Feature 11,-4881.156391474611,RELATE_701
11,Feature 12,-2602.269991400531,RELATE_901
12,Feature 13,-4680.497881282663,RELATE_1001
13,Feature 14,-2927.793935644227,RELATE_1114
14,Feature 15,-2604.0921219407587,RELATE_1115
15,Feature 16,4245.3804364763655,RELATE_1116
16,Feature 17,5667.694564460448,RELATE_1117
17,Feature 18,-3157.0408514088563,RELATE_1241
18,Feature 19,1245.303414765244,RELATE_1242
19,Feature 20,-1779.9974655719454,RELATE_1260
20,Feature 21,11763.488719333724,SEX_1
21,Feature 22,1790.7679293862652,RACE_100
22,Feature 23,-3533.4732029867887,RACE_200
23,Feature 24,4345.1575533674095,RACE_651
24,Feature 25,3704.7092254274985,MARST_1
25,Feature 26,-348.67356026324563,MARST_2
26,Feature 27,-2071.4243565141355,MARST_3
27,Feature 28,-919.3724288095607,MARST_4
28,Feature 29,1186.9153521504406,MARST_5
29,Feature 30,-1552.1542313670743,MARST_6
30,Feature 31,-2852.5780142047734,VETSTAT_1
31,Feature 32,-515.0135817696607,FAMREL_0
32,Feature 33,1263.6817693622552,FAMREL_1
33,Feature 34,-3070.312726933914,FAMREL_2
34,Feature 35,1155.6013751804628,FAMREL_3
35,Feature 36,1166.043164017961,FAMREL_4
36,Feature 37,1741.515471383435,BPL_9900
37,Feature 38,-3100.76678636578,BPL_20000
38,Feature 39,-3430.120320176494,BPL_51500
39,Feature 40,10328.441788380958,BPL_52100
40,Feature 41,1950.6854562137412,CITIZEN_1
41,Feature 42,-1794.2199738452118,CITIZEN_2
42,Feature 43,2833.754168072408,CITIZEN_3
43,Feature 44,858.7005975621138,CITIZEN_4
44,Feature 45,-3848.920248016715,CITIZEN_5
45,Feature 46,-1812.8897258518155,EMPSTAT_10
46,Feature 47,9332.46574359624,OCC_430
47,Feature 48,-6247.794917577983,OCC_2310
48,Feature 49,7281.438292477285,OCC_3255
49,Feature 50,-3439.5162117152595,OCC_4700
50,Feature 51,-2764.9614632299454,OCC_4720
51,Feature 52,-3495.135462490824,OCC_4760
52,Feature 53,-7379.5863122085175,OCC_9130
53,Feature 54,354.05409907528184,IND_770
54,Feature 55,21702.98924282486,IND_7380
55,Feature 56,-12056.735263999208,IND_7860
56,Feature 57,-8287.727053981365,IND_7870
57,Feature 58,-2523.509055307047,IND_8190
58,Feature 59,5079.871785035938,IND_8191
59,Feature 60,-5531.669951208051,IND_8680
60,Feature 61,5120.035654671241,IND_9470
61,Feature 62,-8193.362231092553,CLASSWKR_13
62,Feature 63,7585.466661784001,CLASSWKR_14
63,Feature 64,2837.7929989868207,CLASSWKR_21
64,Feature 65,11104.904308111132,CLASSWKR_25
65,Feature 66,-2774.556550402561,CLASSWKR_27
66,Feature 67,-716.4743334270016,CLASSWKR_28
67,Feature 68,-9843.770853920281,CLASSWKR_29
68,Feature 69,-16241.064904314631,EDUC_2
69,Feature 70,-18314.80203240221,EDUC_10
70,Feature 71,-17719.951299196517,EDUC_20
71,Feature 72,-16200.842442291227,EDUC_30
72,Feature 73,-16079.67512974779,EDUC_40
73,Feature 74,-14564.544760910827,EDUC_50
74,Feature 75,-14215.056506140627,EDUC_60
75,Feature 76,-12869.033069590116,EDUC_71
76,Feature 77,-10025.054815480325,EDUC_73
77,Feature 78,-4648.364937851539,EDUC_81
78,Feature 79,-3972.2639104750037,EDUC_91
79,Feature 80,-2282.5131380589105,EDUC_92
80,Feature 81,15630.554061419305,EDUC_111
81,Feature 82,30627.606408886106,EDUC_123
82,Feature 83,51736.72332106066,EDUC_124
83,Feature 84,49138.283155160185,EDUC_125
84,Feature 85,13948.058406367156,SCHLCOLL_1
85,Feature 86,803.7233323172719,SCHLCOLL_2
86,Feature 87,-1669.7325302080615,SCHLCOLL_3
87,Feature 88,-6198.451091582298,SCHLCOLL_4
88,Feature 89,-6883.598116797892,SCHLCOLL_5
89,Feature 90,2091.3394568409976,DIFFANY_1
